Name,Latitude,Longitude,Directions
Ho Plaza Bench,42.445721,-76.484882,"https://www.mapquest.com/latlng/42.445721,-76.484882?zoom=0"
Joseph Fleming Bench,42.448687,-76.481307,"https://www.mapquest.com/latlng/42.448687,-76.481307?zoom=0"
White Stone Bench,42.44802,-76.484084,"https://www.mapquest.com/latlng/42.44802,-76.484084?zoom=0"
Cornell Store Benches,42.446787,-76.485118,"https://www.mapquest.com/latlng/42.446787,-76.485118?zoom=0"
Stimson Hall Bench,42.447632,-76.482661,"https://www.mapquest.com/latlng/42.447632,-76.482661?zoom=0"
"""The Seven Jewels"" Bench",42.446427,-76.484925,"https://www.mapquest.com/latlng/42.446427,-76.484925?zoom=0"
Olin Library Benches,42.447572,-76.484884,"https://www.mapquest.com/latlng/42.447572,-76.484884?zoom=0"
Tower Road Bench,42.447614,-76.48177,"https://www.mapquest.com/latlng/42.447614,-76.48177?zoom=0"
Arts Quad Bench,42.448275,-76.484279,"https://www.mapquest.com/latlng/42.448275,-76.484279?zoom=0"
The Slope Benches,42.448641,-76.48502,"https://www.mapquest.com/latlng/42.448641,-76.48502?zoom=0"
Sigma Nu Bench,42.447285,-76.484052,"https://www.mapquest.com/latlng/42.447285,-76.484052?zoom=0"
Bailey Circle Bench,42.448773,-76.480103,"https://www.mapquest.com/latlng/42.448773,-76.480103?zoom=0"
Class of 1927 Bench,42.448023,-76.485658,"https://www.mapquest.com/latlng/42.448023,-76.485658?zoom=0"